,company,rating,location,company_size,revenue,glassdoor_awards,other_awards,interview_difficulty
299,ServiceNow,3.7,4,1,5,0,1,2.9
300,Logicalis,3.5,1,1,2,0,1,2.8
304,Softchoice,3.7,4,1,2,0,1,2.7
305,Parsons Corporation,3.6,4,1,5,0,1,2.6
306,Xoriant,3.7,4,1,0.5,0,1,3
307,Esri,3.6,3,1,2,0,1,2.9
308,L.L. Bean,3.7,2,1,2,0,1,2.3
309,Cypress Semiconductor,3.6,1,1,2,0,1,3.3
310,PK,3.6,4,1,0.5,0,1,3
311,Sirius Computer Solutions,3.7,3,1,5,0,1,3.1
312,Cruise,3.7,4,1,0.001,0,0,2.8
313,Continuum,3.6,2,1,0.5,0,1,2.8
314,Enel X,3.6,4,1,0.5,1,1,3
315,Vrbo,3.6,3,1,0.5,0,1,2.9
316,Vitech Systems Group,3.7,2,1,0.5,0,1,2.8
318,Dolby,3.6,4,1,2,0,1,2.9
320,Avid Technology,3.6,2,1,1,0,1,3
321,SPS Commerce,3.5,5,1,0.5,0,1,2.9
322,Synechron,3.6,2,1,0.5,0,1,3
323,Moody's,3.6,2,1,5,0,1,2.9
324,FusionStorm,3.6,4,1,10,0,1,2.8
325,Proofpoint,3.6,4,1,0.5,0,1,2.7
326,RSA Security,3.6,2,1,0.5,0,1,3
327,Cloudera,3.6,4,1,0.5,1,1,3.1
328,Teradata,3.6,4,1,5,0,1,2.9
329,Yash Technologies,3.6,1,1,0.5,0,1,3
330,HTC Global Services,3.6,1,1,0.001,0,0,2.6
331,Mimecast,3.6,1,1,1,0,1,2.6
333,Mindbody,3.5,4,1,0.001,1,1,2.7
334,Verint Systems,3.5,3,1,2,0,0,2.8
335,Accruent,3.6,3,1,0.5,1,1,2.7
336,Vonage,3.5,2,1,2,0,1,2.7
337,MediaTek,3.7,3,1,10,0,0,2.9
338,Agero,3.7,2,1,1,0,1,2.7
339,Hyland,3.6,4,1,1,0,1,2.8
342,McAfee,3.6,4,1,10,0,1,3
343,Veeam Software,3.9,3,1,2,0,1,2.8
344,Camber,3.6,3,1,0.5,0,0,2.6
347,NICE inContact,3.6,4,1,1,0,1,2.8
348,iSoftStone,3.6,4,1,0.5,0,0,2.7
349,FICO,3.5,1,1,1,0,1,3
350,Snap,3.5,4,1,0.001,0,0,3
352,Risk Management Solutions,3.8,4,1,0.5,0,1,3
353,Bristlecone,3.6,3,1,0.5,0,1,2.9
355,Unify,3.6,3,1,2,0,1,2.5
357,Amazon Lab126,3.5,4,1,0.1,0,1,3.1
358,NAVEX Global,3.5,4,1,0.5,0,1,2.8
359,Lexmark International,3.5,4,1,5,0,1,2.8
360,Cvent,3.5,3,1,1,0,1,2.8
361,NCI,3.5,3,1,0.5,0,1,2.2
362,Birlasoft,3.5,1,1,0.5,0,1,3
364,Quinnox,3.5,1,1,0.001,0,0,2.9
365,IDC (International Data Corporation),3.5,2,1,0.5,0,1,2.6
366,2U,3.5,3,1,0.5,1,1,2.7
367,TiVo,3.5,4,1,1,0,1,2.7
368,Synchronoss,3.5,2,1,0.5,0,1,2.9
369,Genpact,3.5,3,1,5,0,1,2.8
371,Forescout Technologies,3.5,4,1,0.001,0,1,2.7
372,Renaissance Learning,3.5,1,1,0.5,0,1,2.9
374,UiPath,3.5,3,1,0.001,0,0,2.9
376,Slack,4.5,1,1,0.001,1,1,3
377,Nextiva,4.4,4,2,0.001,1,1,2.7
378,Palantir Technologies,3.9,4,1,2,0,0,3.2
379,American Systems,3.9,3,1,0.5,0,1,2.5
381,Cray,3.8,1,1,1,0,0,2.9
382,ESPN,3.7,4,1,1,1,1,3
383,GCI,3.7,4,1,1,0,0,2.9
384,Golf Galaxy,3.7,1,1,0.5,0,0,1.9
385,Gateway,3.6,5,1,0.5,0,0,2.7
386,eClinicalWorks,3.5,2,1,0.5,0,0,2.7
389,Digital Prospectors,4.9,2,3,0.1,1,1,2.7
391,SalesLoft,4.9,3,2,0.05,1,1,3.4
392,Fabergent USA,4.9,2,3,0.01,0,0,2
393,Pariveda Solutions,4.9,4,2,0.5,1,1,3.2
394,Sprout Social,4.9,1,2,0.1,1,1,3.1
395,PayJunction,4.8,3,3,0.001,1,1,2.6
397,WillowTree,4.8,3,2,0.05,1,1,3.3
